# Campagna=SmartBay
# Stazione=TBaia_01m
# Nome=Baia_S.Teresa
# Latitudine=44.081873
# Longitudine=9.881667
# Profondita'=1
# Fondale=8
# Clorofilla_M=1
# Clorofilla_Q=0
# Operatore=Bordone_Andrea
# Tipo_misura=Serie_temporale
# Sonda=Elaborazione(SBE19plus)
# Incertezza_standard_Temperatura(°C)=0.023
# Incertezza_standard_Conducibilita'(mS/cm)=0.032
# Incertezza_standard_Salinita'(PSU)=0.009
#      Data Ora(UTC) Profondita'(m) Pressione(db) Temperatura(°C) Conducibilita'(mS/cm) Fluorescenza(ug/l) Torbidita'(NTU) Ossigeno(mg/l) Ossigeno(ml/l) Ossigeno(%) Salinita'(PSU) Densita'(Kg/m^3) Densita'(Kg/m^3-1000) Velocita'_del_Suono(m/s) Clorofilla-a(ug/l) TSS(mg/l)
 25/03/2021 10:58:09          1.004         1.012         13.6681             44.212548             1.1359          0.2930     -9999.0000     -9999.0000   -9999.000        37.4559        1028.1621               28.1621                1505.3101              1.136     0.542
 31/03/2021 08:38:00          1.011         1.019         14.8473             44.705265         -9999.0000      -9999.0000         7.7970         5.4560      96.610        36.7807        1027.3842               27.3842                1508.2876          -9999.000 -9999.000
 07/04/2021 08:38:00          0.980         0.988         14.7488             45.155102         -9999.0000      -9999.0000         7.7300         5.4090      95.890        37.2905        1027.7996               27.7997                1508.5727          -9999.000 -9999.000
 14/04/2021 09:00:00          0.906         0.913         14.0465             41.639314         -9999.0000      -9999.0000         8.0820         5.6550      97.270        34.6796        1025.9338               25.9338                1503.2647          -9999.000 -9999.000
 21/04/2021 09:00:00          0.833         0.840         14.9393             45.250533         -9999.0000      -9999.0000         8.0520         5.6340     100.210        37.1962        1027.6838               27.6838                1509.0598          -9999.000 -9999.000
 28/04/2021 08:20:00          0.764         0.770         15.7893             46.811098         -9999.0000      -9999.0000         7.9180         5.5400     100.570        37.8100        1027.9636               27.9636                1512.4114          -9999.000 -9999.000
 05/05/2021 08:25:00          0.985         0.993         17.3868             45.125772         -9999.0000      -9999.0000         7.9550         5.5660     102.350        34.8624        1025.3205               25.3205                1513.8425          -9999.000 -9999.000
 12/05/2021 08:30:00          0.885         0.892         18.3666             47.053562         -9999.0000      -9999.0000         7.3470         5.1410      96.770        35.6681        1025.6964               25.6964                1517.6255          -9999.000 -9999.000
 18/05/2021 08:40:00          1.011         1.019         17.8761             45.665045         -9999.0000      -9999.0000         7.8890         5.5200     102.480        34.9061        1025.2351               25.2351                1515.3360          -9999.000 -9999.000
 18/05/2021 09:14:45          1.055         1.064         17.9325             45.796791             2.1257          0.4917     -9999.0000     -9999.0000   -9999.000        35.0036        1025.3001               25.2708                1515.5752              2.126     0.592
 28/05/2021 12:40:00          1.058         1.067         20.1075             49.374658         -9999.0000      -9999.0000         7.9100         5.5350     107.880        36.1042        1025.5803               25.5803                1523.0250          -9999.000 -9999.000
 01/06/2021 08:00:00          1.113         1.122         19.6250             49.996753         -9999.0000      -9999.0000         7.5290         5.2690     102.350        37.0404        1026.4234               26.4234                1522.7418          -9999.000 -9999.000
 09/06/2021 08:20:00          1.040         1.048         21.7393             52.141188         -9999.0000      -9999.0000         7.1250         4.9850     100.550        36.9439        1025.7736               25.7736                1528.3426          -9999.000 -9999.000
 16/06/2021 08:25:00          0.984         0.992         23.4036             54.482698         -9999.0000      -9999.0000         7.3110         5.1160     106.490        37.3637        1025.6135               25.6135                1533.0679          -9999.000 -9999.000
 23/06/2021 08:45:00          1.034         1.042         25.1455             55.517062         -9999.0000      -9999.0000         6.6680         4.6670      99.700        36.7037        1024.5893               24.5893                1536.6096          -9999.000 -9999.000
 30/06/2021 08:36:00          1.023         1.031         24.7976             56.306879         -9999.0000      -9999.0000         6.6600         4.6610      99.490        37.5825        1025.3609               25.3609                1536.7252          -9999.000 -9999.000
 05/07/2021 08:35:00          0.975         0.983         25.6206             56.900513         -9999.0000      -9999.0000         6.8410         4.7870     103.470        37.3441        1024.9262               24.9262                1538.4228          -9999.000 -9999.000
 15/07/2021 08:30:00          0.974         0.982         25.5854             57.333426         -9999.0000      -9999.0000         6.6170         4.6300     100.220        37.6944        1025.2020               25.2020                1538.7168          -9999.000 -9999.000
 21/07/2021 12:35:00          1.152         1.161         26.4960             58.360412         -9999.0000      -9999.0000         7.3070         5.1130     112.360        37.6998        1024.9196               24.9196                1540.8363          -9999.000 -9999.000
 28/07/2021 08:20:00          1.067         1.076         26.5598             58.612915         -9999.0000      -9999.0000         6.7430         4.7180     103.880        37.8318        1024.9986               24.9986                1541.1217          -9999.000 -9999.000
 04/08/2021 08:35:00          1.056         1.065         26.4085             58.676409         -9999.0000      -9999.0000         6.5110         4.5560     100.150        38.0029        1025.1760               25.1760                1540.9585          -9999.000 -9999.000
